,Tweet
304,"DC we all need to do our part and get the shot to help keep our communities safe

My offices Cure the Streets program is holding a COVID19 vaccine clinic in partnership with HowardU medical school this Friday 1130am130pm at Vista Apartments in SW All are welcome"
305,"VaccinezVous 
2x 15 minutes pour vous protger protger son entourage protger la socit 
vaccination"
306,La vaccination gratuite ce truc de riches
307,"AldoSterone111 Reveident En France notre prsident dit que les effets secondaires sont trs trs rares pendant que ses tls passent en boucle  65 000 effets secondaires sur 70 millions de doses injectes
928 pour 10000
Cest norme 
cest 2 que les DC ds au COVID19 
passedelahonte"
308,"aymarrejean dreslincourt martinelive Sur les effets secondaires Macron annonce quils sont trs trs  rares 
6500070M injections soit 928 pr 10000
 ce jour il y a 424M DC du COVID19 pour 7703 mds habitants  a fait 55 pour 10 000 et c norme 
Fin de la blague 
PassSanitaire passedelahonte 

Bouffon"
309,chrislhayes Wish we had something like that in DC Im walking around with a pic of my vaccine card on my phone with two pieces of printed backup Kaiser medical record amp DC immunization registry print outs
310,Slapout4 I have called my elected officials offices in DC to ask them to support a nationwide face mask mandate plus a vaccine mandate for all who are medically able to take a COVID19 vaccine
311,"Audel des hospitalisations et des dcs pour certains en ltat actuel des connaissances personne ne peut dire avec certitude ce que les covidlong deviendront ni si certains covid totalement anodins nauront pas des consquences  terme
En revanche la vaccination protge"
312,"russeurope Ce vaccin na rien  voir avec quelconque intrt gnral le seul intrt quil gnre cest la rentabilit en bourse de tous ces actionnaires des BigPharma qui jouent avec nos vies 
003 de mourir du COVID19 contre 28 deffets indsirables
20 000 DC en 
50 000 DC en "
313,Lindsey Graham now has COVID19 as an army of DC escorts race to get tested for the Lady G variant
314,"Making a list of places to visit before we undoubtedly have to go back into COVID19 lockdown

️ Taco Bell Cantina in DC

️ El Rey on U Street 

…"
315,"A Criminalidade nos EUA est saindo de controle

Em julho o nmero de homicdios em Washington DC ultrapassou as mortes por covid19 em uma proporo de quase 3 para 1

Em Chicago a criminalidade aumentou 15 tambm em julho

Qual a explicao para isso

Via lordivan22"
316,NC RepPatrickMchenry blocked eviction moratorium extension Cares nothing 4American citizens being evicted in a pandemicDC Office 2004 Rayburn HOB Washington DC 20515202 2252576 Hickory District Office 1990 Main Avenue SE PO Box 1830 Hickory NC 28603
317,"erwan9131 C 1 essai vaccinal bas sur le virus  Covid19 de l anne dernire 
On sait trs bien que ce virus a dj mut plusieurs fois dc pourquoi 7 empressement cette DictatureSanitaire 
Ils mentent et continueront de le  faire car le but ce n est pas le covid grippe c autre chose"
318,"But in USA its not just southern red states suffering NewYork has just posted its highest daily total in nearly 3 months

33 states and DC have not yet updated Saturdays Covid19 totals yet already the total cases has passed last weeks number
US deaths up 41 in 3 wks"
319,"Will the CDC issue Guidance for residents of New York Chicago DC amp  other Democrat Run cities to wear Bullet Proof Vests 
In those cities more people are victimes of random shootings than are dying from COVID19"
320,MichaelPSenger HousingFirstUK Absolutely love that term Faucian dystopia COVID19 COVID
321,"LEADCoalition tjbogart33 UCLASemelFriend psbdc Smilan317 d1Vinman Bvweir MedicVet68 KapeciaResists AceBearstrom RagsII JtRuss21 Wipapa5 Jhogan552 Suzyqfit4u kyblueblood StormMela Its like playing russian roulette
People do not gamble w COVID19 your risk of losing everything is too high to take the chance"
322,Desde maana en DC todos los humanos tienen que usar  sobre  y  en lugares pblicos cerrados COVID19
323,More people have been murdered in the last four days in anti 2A guncontrol capital DC than have died of COVID19 in the last two weeks But hey masks you know ‍️
324,Je crois vraiment que SanteGouv doit axer sa prochaine campagne de vaccination sur la pdagogie
325,"fcristian11 Jamais pas avec cet ESSAIS vaccinal Pfizer 
Pourquoi faire  
Pr dvelopper le covid19 comme des milliers de personnes  travers le Monde
Dc maintenant ds k lon a 1 rhume 1 rhinopharyngite c 1variant c cela
La grippe a disparu aussi com par hasard"
326,"Riding an Amtrak from NY to DC and the train is now broken Almost 20 without AC in the middle of nowhere 
The conductor said engineers are looking at the engine 
There is a policy for airplanes but is there legislation that protects train passengers 
Regional85 COVID19"
327,BREAKING The DC mask mandate returns Mayor Muriel Bowser announced today that everyone above the age of two must wear masks indoors regardless of vaccination status The mandate will be affective starting 731 at 500am Masks COVID19 DC Health WashInformer
328,Got to meet up wboth PeterASands amp WinnieByanyima in DC this week Deep insight on pandemics HIVpandemic TBpandemic COVID19pandemic Does it only count if if mostly kills highincome We need to talk about pandemic preparedness amp response joined up w human rights
329,The response MarkedByCovid got this week was what they expected  politicians in DC dont understand the heartbreak and the needs of families impacted by COVID19 And that extended to their White House meeting as well
330,VictorSinclair3 Ce nest pas nouveau que le DC  est d au COVID19 mais quand on est vaccin le DC est d aux  co morbidits
331,Thank you to all the amazing people advocating in DC this week for CovidLobbyDays Thank you for speaking up for all of us struggling with LongCovid and everyone who was affected by Covid19 and lost loved ones
332,"Deutschland Juli 2021
Ein morbid adipser Kanzleramtschef seines Zeichens COVID19 Risikopatient will allen Brgern die Grundrechte weiter einschrnkenentziehen die sich nicht freiwillig als Proband fr die grte Impfstoffstudie der Geschichte melden
Finde den Fehler"
333,Que lon pourra attendre des services daval en soins non critiques ms je vs avoue quen sortant de cette dernire nuit jai qqes craintes  ce sujet Ce qui est certain cest que cette nuit encore aucun des patients COVID19  ntait vaccin Je continue dc  le crier 9n
334,"Night Prayer
Kyrie eleison Christe eleison Kyrie eleison
Lord have mercy ancient 5th century

Pray 4 USA HongKong Ethiopia Tigray Cuba Haiti Nigeria India Australia Japan France UK DC PuertoRico Nicaragua  COVID19 homeless 
Jesus hope help love"
335,"PEOPLE OF DC I need a rapid COVID19 test TOMORROW

Where can I get one"
336,Peru has the worlds highest COVID19 death rate per capita tragically it also has the highest number of children left without a parent or grandparent  1 in every 100  httpswwwthelancetcomjournalslancetarticlePIIS0140673621012538fulltextYPhkgbFDcm8twitter 🧵
337,"Is anyone else wondering what happened to hand sanitizers 

In DC  feels like overnight they have started to disappear from shops stores restaurants

Its still a pandemic amp a good publichealth measure to offer a handsanitizer  esp given the scarcity of public toilets"
338,"Can you imagine if GA Republicans avoided their sworn duty and came to Washington DC on a private plane without masks and then spread COVID19 

TexasVariant"
339,DrSiegel claims that the Vaccinated 1 out of 10k can still get COVID19 How do you explain 5 out of about 30 getting COVID19 on the Plane from Texas to DC Science  How about BS 
340,"In March 2020 we rolled out the NHSWales VideoConsulting Service as part of WelshGovernments response to COVID19

A huge task that was achieved through collaboration with DHCWales DCWales cwtchgwent DHEWales amp lshubwales

Heres how we did it 

VCWales"
341,"Aaaaaand two more Texas state Democrats who fled to DC have tested positive for COVID19 

‍️"
342,NEW State Rep TreyMartinezFischer is one of the two House Democrats who tested positive for covid19 today in DC He released statement …I received a positive COVID19 rapid antigen test result…I am fully vaccinated…I am quarantining until I test negative TexasHDC
343,Breaking911 What a time to be alive Let freedom ring Governments are finally starting to figure out we must learn to live with this we cannot stay in hiding forever COVID19
344,mtgreenee mattgaetz MarjorieTaylorGreene amp accused sex trafficker MattGaetz are the tyrants Calling DC commies for trying to save lives from a Covid19 pandemic is propaganda Tyrants use propaganda to fool the masses
345,Pretty disappointed to learn that Texas Dems visiting DC and meeting with everybody and his brother are testing positive for Covid19  Vaccinations anyone
346,lepopulairefr Dites lepopulairefr allez plutt faire un reportage sur les queues dans les centres de vaccination plutt que sur les opposants  tout et  rien a nous changera
347,Total number of unusedwasted Covid19 doses in Virginia jumps nearly 150 in the last month Va Dept of Health blames mainly on declining interest NBC4ITeam has more on wasted doses around the DC region ahead on NEWS4 at 5 amp 6
348,Delhi DC Chowk Market in Sector9 of Rohini shut till 19th July for violation of COVID19 norms SDM Alipur ANI
349,PoPville any idea where foreigners can get COVID19 PCR test results in less than  60 hours in DC
350,Nervous but excited to start freelance writing amp reporting fulltime in NYC Time flies  3 years ago after graduating college I moved to DC to work on global reprohealth started writing on the side during COVID19 and ultimately decided to pivot to journalism
351,Thank you CouncilofDC for unanimously passing the emergency bill ChmnMendelson and I collaborated on to strengthen DCs debt collection laws amp protect consumers These new protections from abusive debt collectors will be especially important when the COVID19 emergency ends
352,DC Bandipora Dr Owais Ahmad today said the district administration is going to intensify COVID19  testing with special focus on service providers in view of the upcoming EidulAdha kashmir
353,"Anantnag achieves 100 vaccination of over 45 years age group
Good job DC Anantnag  drpiyushsingla  
Youre a trend setter
MJH 
Kashmir
 COVID19"
354,A debt collection law that does not cover medical debt or credit card debt is not a law that works in the 21st century We need to update DCs laws now before the COVID19 protections expire Thank you ChmnMendelson and AGKarlRacine for standing up for DC consumers
355,"Starting in USA where overnight we saw another increase in Covid19 cases  and thats with only 16 of the 50 States DC having updated their totals
The previous day saw a 48 rise in infections some states still stable but others like Florida doubling cases to 5790"
356,"Je parie que 90 de la population se battrait pour se faire vacciner 
Ne resteraient que les antivax purs ceux qui depuis le dbut des annes 2000 ont mis le doute aux parents et ont fait ressurgir la rougeole 
La vaccination est un acte de solidarit"
357,Com a fracassada copaamerica o PR jairbolsonaro  conseguiu aumentar em mais 175 infectados pela covid19 para ver a Argentina humilhar o Brasil em pleno maracana copaamerica do coronavirus vc s v no sbt issoaglobonomostra 
358,TV is showing this thunderstorm going due east right through Washington DC Its true It is Visibility less than a mile BUT we expect to be at work as usual without getting wet Its still the time of COVID19   That depends of course on the persistence of electricity
359,DC is now one of the first jurisdictions in the nation to have over 70 of residents 12 years old and older to have at least one dose of the COVID19 vaccine
360,psbdc leimer mikulaja PayPal Necessity the mother of all invention PayPalTwitterChat A revolution in Payment been accelerated by the Pandemic
361,Kalaax008 Thanks Diva fireworks in DC were incredible So thankful we all survived last year and COVID19 I hope you all had an enjoyable FourthofJuly  rini6 haldonahue nanaguerrax7 EliasJMcClellan gmarie55 MaziesDaisies DancinDebb5678
362,DanCrenshawTX Ending the pandemic is a public good governments are supposed to promote the public good Also not everyone has access to the same information sources as you so providing education doortodoor which has been going on in DC for two months is an effective educational method
363,AlCardenasFLDC Having been deployed better that they were engaged at putting covid19 shots in arms of the unvaccinated Unlike their current task that would actually save American lives
364,"Avec moins de 80 DCj ds les hpitaux le Covid19 focalise lattention des pouvoirs publics et du ministre de la sant
1500 autres personnesj meurent ds lindiffrence
Cancers maladie cardiovasculaire diabte maladie respiratoire…la sant des  nest pas que le covid19"
365,"This time last year my wife daughter and I should have been in Washington DC on holiday followed by a trip to Chicago All cancelled thanks to the Pandemic

HAPPY JULY 4th TO ALL AMERICANS 
July4th"
366,"Malgr nos impts On est 1 des pays les plus impact en DC par la crise COVID19
Absence de tests et de lits
Interdiction de prescrire 
Doliprane 
Confinement absurde 
Conflit dintrt…
Malgr Tt la mme quipe de charlots continue leurs leons
NonAuVaccinObligatoire"
367,"LUDHIANA TOPS IN PUNJAB IN VACCINATION DRIVE BY ADMINISTERING HIGHEST EVER 82677 DOSES IN A SINGLE DAY 

DC VarinderIAS HAILS COLLECTIVE EFFORTS OF NGOs SOCIAL amp HEALTH TEAMS TO ACHIEVE THIS GOAL"
368,Follow ASCAssociation CGFNS amp DCAMCHP to keep up with the work these partners are doing to help the COVIDVxProject share information on COVID19 vaccines followfriday
369,We saw how quickly we were able to change things during COVID19 says Chiquisha Robinson when discussing recent changes to compassionate release and good time credit calculations and the need to continue these measures moving forward DCJusticeForums
370,There needs to be a radical dramatic commitment to decarceration says Chiquisha Robinson calling for the expansion of decarceration measures taken during COVID19 DCJusticeForums
371,"Je suis librale mais si laboutissement de la libert est uniquement lgosme a me drange profondment 
Je ne compte pas sur les autres pour me protger  je me vaccine Point
vaccinationobligatoire"
372,Well it appears that more places are opening up for nightlife in DC As I sit on L St traffic here is significantly more than it has been for the last few weeks WashingtonDC dcnightlife PartyandPlay COVID19
373,DC has reported zero COVID19 deaths for seven consecutive days
374,"Lagos ️ Londres 
Nairobi ️ Washington DC 
Linvestisseur de renom afalli estime que le passage au travail  distance d  la pandemie de COVID19 permettra de mieux connecter les talents dAfrique  lconomie mondiale sans sloigner du continent 
IFCinsights"
375,"Just in Tinsukia registers 53 fresh cases of COVID19 out of total 2492 tests done in last 24 hours ie positivity rate of 213 DCofficetsk

Assam
AssamCovidUpdate"
376,"Exhailguy DCMas8n JimJordan Ps everything everywhere is going up due to all the interruption from COVID19 
POTUS cant impact the economy that quickly with the minor things this admin has done so far
Read a study somewhere that it takes 3 to 4 years for policy change to trickle to the people"
377,"                     

SputnikUpdates Vaccine coronavirus HaryanaAhead

DCGurugram
RaoInderjitS anilvijminister indiaaheadhindi"
378,Was just asked What do you do for the first time since COVID19 at a DC happy hour so nature is healing
379,District Administration Gurugram expresses its sincere gratitude to AIFoundation and indiaoxygen for their generous contribution of donating Oxygen Concentrators to fight COVID19 in the district We are grateful for the support to CurbTheVirus
380,District Administration Gurugram expresses its sincere gratitude to PVMOfficial WeAreLDC and DEHNIndia for their generous contribution of donating Oxygen Concentrators to fight COVID19 in the district We are grateful for the support to CurbTheVirus
381,"Village lower kotain uri tehsil mendhar without electricity for four daysThe people are suffering basic amenities  in this difficult time of COVID19 DC poonch is requested to intervene immediately  and help the people in the village
PoonchDm menndhar MendharTimes"
382,BREAKING Gurugram tops country in vaccination with 49 percent Indore second with 449 Kolkata third with 427 percent says anilvijminister Carry on Gurgaon DCGurugram COVID19INDIA coronavirus COVID19 Corona
383,Dharwad reports 148 COVID19 cases on Sunday XpressBengaluru HubliCityeGroup HubliCityeGroup hublimandi DCDharwad NammaHD NammaDharwad hublimeme HubballiRailway Hublirailusers upendravk nagabhushanb faizzz2212 PramodKVTNIE ArunkumarTNIE HiremathTnie
384,District Administration Gurugram expresses its sincere gratitude to makemytrip THFINDIA and SeedsIndia for their generous contribution of donating Oxygen Concentrators to fight COVID19 in the district We are thankful for the support because TogetherWeCan
385,Washington DC lifted its COVID19 restrictions today but clearly this still isnt enough to encourage Speaker Pelosi to reopen the Capitol
386,talkRADIO Davidso80537992 mrmarkdolan EmmaAWebb Miatsf Im sure that it is the plan to flatten smaller businesses to favour corporates and online retail  hospitalityindustry for the masses can go swing incl tourism COVID19 CovidVaccine BuildBackBetter GlobalReset
387,DC now just days away from a major vaccine milestone Details on News4 beginning at 4PM nbcwashington
388,NEW DCHospitalAssoc mandates all of its participating hospital employees and clinical team members get the Covid19 vaccine Right now about 70 of all DC hospital employees are vaccinated NBC4ITeam
389,Refus sec de la majorit Vivaldi daccepter la possibilit de report de la tenue des AG comme le demandent les secteurs culturels et sportifs vu la pandmie Covid19 comme en 2020 Ils nont qu sorganiser dit le begov Et dc tant pis pr les petites ASBL brutal
390,tovihoto DCDimapur JPNadda blsanthosh AjayJamwalNE NalinSKohli Following the fruitful meeting Honble Advisor also donated his onemonth salary to DTF to boost its fight against COVID19
391,Today after an old friend posted data about rising trend of COVID19 picking up in spots like DC and WA in pops where folks havent gotten vaxxed they advised that people should want to avoid getting the virus
392,"    Gurugram  18  44    Vaccine             10             
anilvijminister cmohry DCGurugram WHO MoHFWINDIA PMOIndia"
393,"COVID19 Positivity rate has lowered from peak 33 per cent to 65 per cent says DC Sgr AsadamAijaz 

‘78 percent decline in cases 3700 active cases in Sgr 7 lakh tests conducted since pandemic outbreak"
394,Bon les vaccins peuvent tre porteurs mais pourront voyager pdt que les non vaccins auront 1 pcr ngatif dc pas porteurs  dc mieux vaut diffuser la covid19 vaccin qutre sain mais non vaccin  Logique denarque Vaccination espagne
395,DC Drivers licenses that were allowed to expire in 2020 due to the COVID19 now MUST be renewed by 71 Problem THERE ARE NO DMV APPOINTMENTS AVAILABLE UNTIL FALL MayorBowser trayonwhite councilofdc We need open appointments to comply
396,"Rajouri admin focusing on speedy Covid vaccination strict enforcement of Covid safe protocols DC 

Dont pay heed to rumourmongering on COVID19 vaccine it is fully safe amp lifesaving procedure diprjk dmrajouri"
397," Hardware shops to remain open once a week on every Wednesday from 6 to10AM in North amp Middle Andaman district from tomm till further orders Following COVID19 protocols

DC NampM issued order in this regard

Order issued to meet constructional requirement

SPNMAndaman"
398,I will speak to the bbcworldservice about new figures which confirm Peru has the worst COVID19 death toll per capita in the world
399,RawStory Another good move by Mayor Muriel Bowser to caution everyone to stay away from downtown DC that day Shes not perfect but I am damn impressed with how my mayor handled both the pandemic and the run up to the insurrection
400,"suneelwattal HaryanaTweets NHMHARYANA dramaticscotch YBISL DCFaridabad DrSubhasree dpsisi cmohry Dchautala diprogurugram1 Theupdater honeygupta DharamvirNews BollyNumbers RajKVerma4 JKinformation We cannot control behavior of COVID19 virus but we can control our behavior that is 
Wear Masks
Maintain Social Distancing
Frequent hand washing
And of course get vaccinated when we get our slot"
401,"ABBOTTABAD
07  08 June Green Retreat Nathia Gali

09  11 June Hotel One Abbottabad 

CHITRAL
07  08 June Pamir River View Hotel

Dir Upper
09 June DC Hall

PESHAWAR
07  11 June Shelton Rezidor University Town

KPArchaeology COVID19 33"
402,After a very disappointing month of May for the age group of 1845yr in last few days vaccine no have slowly picked up in Jammu Initially Covaxin was administered amp now Covishield  Credit goes to local administration including DC helloanshul 
403,"Thinking abt the Wash DC COVID19 data amp the upcoming 40th anniversary of the 1st HIV case reports

How the HIV epidemic affected Blk amp Latin folks from the start but with time has predominantly affected Blk amp Latin folks

Could see this happening w COVID19"
404,"Gurugram  GOOD NEWS screening in all 166 villages going on to identify COVID19 cases till now no positive case found in 13 villages 65 villages have one case each cmohry
DiprHaryana DCGurugram
MunCorpGurugram
gurgaonpolice
NewsMobileIndia
htTweets
sumedhasharma86"
405,"DC to begin closing public walkup COVID19 vaccine amp CovidTesting sites 
Arena Stage June 27
RISE Center June 30
UDC June 24
Washington Convention Center June 20
Turkey Thicket amp Kenilworth Rec Centers May 31     Judiciary Square testing closes May 28 nbcwashington"
406,DCGurugram Humble request to consider Security guards and Housekeeping personnel as Front line workers as they are doing the same job as any other Gov front line workervaccination  RWAsUnitedGgn anilvijminister Dchautala JJPWomenCell Dushyantwave YasheshYadav
407,ryanstruyk nycsouthpaw CNN We had 14 in DC for yesterday and have no pandemic metrics in the scary red zones Truly amazing work America
408,"First weekend with all of DC open and Im exhausted 

pandemic dc COVID19"
409,"Covid19     25   5         RAT        
JharkhandCMO  24          "
410,"48 out of 51 statesDC had a lower Covid19 hospitalization census yesterday 521 than two weeks prior 57

The other three AR 11 UT 2 WY 17"
411,"Is it only d small shops that help me spread R supermarkets a safe zone NO is d answer 
Is it just covidiotism or a conspiracy to help supermarkets make super profits 
Grow up 
dcpulwama dcpulwama DCBudgam MayorofS manojsinha diprjk 
CoronaCurfew COVID19"
412,Throughout the pandemic we have seen how our clients have been disproportionately impacted by COVID19 distance learning reduced or lost employment amp changes to public benefits Today we urge the DC Council to focus on an equitable recovery that helps minimize those impacts
413,Release of the scale of COVID19 deaths kept secret by scotgov agency NatRecordsScot for eight months the Scottish Information Commissioner rules Very important story and interesting this is a collaborative effort by TheScotsman STVNews DC Thomson and heraldscotland
414,"Div Comm Jammu fixes rates of blood tests for Covid19 for all labs
DC Jammu already fixed rates for CT Scan
Their counterparts in Kashmir seem to be having ego problem in implementation of peoplefriendly rates
Afsar Shahi in Kashmir
MJH 
OfficeOfLGJandK  
srinagaradmin"
415,"Hv constituted High Level Comtt for Resolution of COVID19 Complaints
DC01722219500 is Chairperson SSP01722219211 Civil Surgeon01722226343 MC Rep01725044911Sect Distt Legal Services Authority01722219170 r members Will look into complaints amp make surprise checks"
416,"Do you trust people who say they arent getting the Covid Vaccine
Of course aside from those who have immune issues

50 of Republican Leaders in DC are not vaccinated and have said they wont get vaccinated Why are these people in leadership roles What are they leading"
417,"US  American civil rights activist Rev Jesse Jackson Sr along with Congressman Raja Krishnamoorthi urged President Joe Biden to allocate 60 million COVID19 vaccine doses to India The duo assured that help is on its way ANI Washington DC
COVID19 IndiaFightsCorona TV9News"
418,Students4Arava1 FFFIndia DCGurugram cmohry PTINews moefcc fayedsouza Youth4ClimateIn ClimateFrontIND GNewshub ClimateReality narendramodi PMOIndia moefcc thousands on crores on all projects but not on waste management air pollution climate change basic health amenities clean air and clean water less tree cover of india SuPriyoBabul PrakashJavdekar JPNadda rsprasad rajnathsingh COVID19
419,"Breaking DC Central has notified the imposition of microsmart lockdown for 2 weeks in several areas of Karachi due to the rise in COVID19 patients in four towns including Gulberg North Karachi Liaquatabad and North Nazimabad 

Karachi CoronavirusPandemic COVID19"
420,"A la vaccination 
Il ny a qu voir dans un dpartement comme la Creuse qui est  41 de couverture 
Cest pourtant un dpartement pauvre g rural 
Mais la solidarit de terrain et le numrique font bien le job"
421,And in addition to responding to COVID19 the NVNationalGuard simultaneously conducted 5 major overseas combat deployments as well as positioned hundreds of citizen soldiers amp airmen to DC — standing sentry following the Jan 6 siege of the United States Capitol
422,"Actuellement 1761 crneaux de RDV Vaccination disponibles sur la HauteVienne
Pour que le 19mai soit le dbut dun vrai monde daprs soyons solidaires jouons collectifs et poursuivons leffort de VaccinationCovid"
423,"A really appreciable gesture of DC Jammu Anshul Garg for fixing rates of chest CT for Covid19 at Rs 1500
Hope other DCs in JK also fix rates especially of  blood tests prescribed for such patients
Otherwise the rates are blood sucking
MJH
Kashmir 
OfficeOfLGJandK"
424,abhayminz HemantSorenJMM JharkhandCMO DCRanchi ChampaiSoren BhoktaSatyanand DrRameshwarOra1 RajeshKinc geetashreeoraon SitaSorenMLA HansrajMeena IrfanJmm JmmJharkhand Covid19 Schools colleges and universities need to take all precautions to prevent spread and protect the health and life of students faculty and staff Online tests dissertation submitted by mail online seminars or panel interviews are fine But offline tests arent safe
425,So sad yet so predictable that the New England states Md NY NJ Va DC NM Cal Ore Washall gonna reach herd immunity levels Yet southern and Midwestern generally Republican states arent gonna make it Every time COVID19 infects someone it gets smarter and stronger
426,"MurielBowser COVID19 vaccines in DC at MLB Nationals
TakeTheShot 
Ideas4DC"
427,brajeshlive rohinisgh           COVID19         DC                     suryapsinghIAS NcAsthana ssrajputINC pradeepjain52 MahuaMoitra
428,clairefarring20 What a contrast to my supervision sessions with NicholasBehn on the River Cam at the Cruise Bar opposite the Sydney Opera House amp in a coffee place in Washington DC amongst other places I love this idea it will be one of the many covid19 memories you will have in the future
429,HiI hv recovered from COVID19 and an aspiring PlasmaDonor B from Gurugram do contact if in need wecares4india Praveenmalik86 YasheshYadav IamRituKataria ZCzenith RangheraSingh beingarun28 Dushyantwave DCGurugram ipskabra anujias09 aapkadharam SangramSanjeet
430,"Faridabad
Need Blood Type   ABpositive
At  Zenith
Blood Component  Need plasma ABve from Covid19 recovered patient
Number of Units  1
Primary Number  9818948905
Via raktnssdtu
BloodMatters
AbvpFaridabad DCFaridabad"
431,                          8368987027           FBDPolice anilvijminister ALOKMITTALIPS DCFaridabad DIPROFaridabad COVID19
432,Drivethrough Vaccination in the parking lots of GurugramPark India provider of automated smart parking solutions is conducting vaccination drives inside parking lots of shoppingmalls The first such camp is happening at DLF City Centre Gurgaon cmohry DCGurugram
433,"Without test PHC Daulatabad declared me Covid19 positive in 25 April report

Wow what an amazing technology is being used DCGurugram

Hats off to the health department of Gurgaon

Moreover they are informing today after 19 days of sample collection 
cmohry Dchautala"
434,"  13  2021  605      1765    

COVID19 coronavirus ranchi Jharkhand  

BannaGupta76
NHMJHARKHAND
DCRanchi"
435,"talkshow COVIDEmergency COVID19 coronaseries CoronavirusIndia CoronavirusPandemic CoronaSecondWave coronatime stayhomestaysafe staypositive staystrong jammukashmir dc deputycommissioner kathura udhampur
indukanwal yaduvanshirahul helloanshul RBakshee"
436,Experts predicting 3rd Covid19 wave in near future and will impact Kids As a part of planning should we vaccinate kids parents  Kids will need to be accompanied by parents thus their Vaccination is a MUST   Think Think  Think NITIAayog PMOIndia DCGurugram cmohry
437,"My grandmother Covid ve amp she is admitted in Sadar Hospital Sahibganj She is recovering after 5 days I appreciate the efforts of Mr Ramnivas Yadav dcsahibganj for making sure sufficient oxygen is present in the hospital
HemantSorenJMM BannaGupta76 COVID19India COVID19"
438,PaulMaxit Rappelons qu on nous assne les plus de 200000 dc COVID19 de lInde alors que ce pays est 20 fois plus peupl que nous et que nous nous avons plus de 100000 dc et pas 20000020 10000dc cad on est 10 fois plus mauvais que Inde en termes de dc
439,"COVID19 
               

      
        

       

          
StaySafe "
440,"Faridabad
Need Blood Type   ABpositive
At  Sarvodaya 
Blood Component  Need plasma from ABve COVID19 recovered patient 
Number of Units  2
Primary Number  9818381364
Via IndBloodDonors
BloodMatters
AbvpFaridabad DCFaridabad"
441,"What a mess are you making on the vaccine slots anilvijminister 
Why cant we register irrespective of slotsbe on a online waitlist  and be assigned a day accordingly  Why  go online everyday and waste hours trying to book a slot  CowinApp COVID19Vaccine DCGurugram"
442,"Patient Name Amarjeet Kaur
Age42 Years 
Place Vaidic hospitalsector 10Gurugram
Oxygen Level 75 
Requirement A  Plasma
Attendant name Satyam Poonia
Contact No 9650906277
DeependerSHooda DCGurugram 
COVID19 CovidIndia SOSGurgaon"
443,"DCGurugram
DCFaridabad
It is important to direct CMO for passing orders
FOR BlackFungus ON PATIENTS ON OXYGEN SUPPORT IT SHOULD BE MADE AN ESSENTIAL PART OF COVID CONTROL PROTOCOL IMMEDIATELY IF PRECIOUS LIVES SAVED FROM COVID19 R TO BE SAVED FROM THIS DANGEROUS DISEASE"
444,So happy to book vaccine appts for my teens Thx GrubbsPharmacy for planning ahead theHillisHome VaccineRegistration DC
445,"Covid19                         
06546265233
06546270044
06546270045"
446,dcmorel c est tellement a  Zro COVID19 mais incapacit totale  accepter les mesures mises en place par les pays qui ont eu plus de russite tracking systmatique confinement strict zro rassemblement etc
447,"DC SRINAGAR CLARIFIES

gtgtgt        No partial relaxation announced by District Admin Srinagar Order is amply clear  DM Srinagar

COVID19"
448,neeratanden Its been amazing watching the DC numbers as vaccination  grows We were stuck at an avg case rate in the 15  17100000 zone for weeks then in the last 10 days its dropped off a cliff and is below 8 as of yesterday VaccinesSaveLives
449,"   VACCINE    Tweet        coronavirus          
HemantSorenJMM DCRanchi BannaGupta76 
vaccine        
     "
450,"     sanitization   COVID19      
PrdRamgarh
DCRamgarh MLARamgarh BhoktaSatyanand JharkhandCMO"
451,"Any doctor helpline for Faridabad citizens please

DCFaridabad DIPROFaridabad MCFFaridabad moolchandbjphry cmohry 

COVID19 COVIDEmergency2021 Haryana"
452,"dpsatish CMofKarnataka Local DC should be given power to tweak the rules of lockdown
There is no one size fits all
Idea is to prevent the spread of COVID19 and not to torment citizens Hope sanity prevails"
453,"Listen to dcsivasagar Bishnu Kamal Bora at 745 pm tonight on COVID19 management Interview by  Pulak Gogoi
AssamCare"
454,"Finally I was welcomed  by Delhi and got a slot for 10th May but what is going on in Faridabad DCFaridabad  
I checked till 10pm but no slots were opened for 18 mlkhattar it shows the seriousness to fight against COVID19
Why we cant make disease free Haryana"
455,orchid  prides itself on having highly qualified and most helpful Dr Udgeath Dhir who handling COVID19 related patients  and saving  our residents life during the pandemic Much gratitude doc DCGurugram abplivenews DEEPAKKAHUJA  TOIGurgaon
456,"Gurugram
Need Blood Type   Bpositive
At  Sunrise
Blood Component  Need Plasma from Bve Covid19 recovered patient
Number of Units  2
Primary Number  8966840004
Via TheWingsOfIndia
BloodMatters
AbvpGurugram DCGurugram gurgaonpolice PlasmaNCR"
457,"FLASH

gtgtgt     Special Secretary to Government Finance Department and Ex DC Kulgam Dr Shamim Ahmad Wani dieS due to  Covid19 at GMC Jammu

jammuandkashmir"
458,"Well 24 hours after receiving the JampJ COVID19 Vaccine I am happy to report that I have had NO noticeable side effects

Even better is that Bill Gatess voice in my head helped me avoid DC traffic yesterday My microchip is now playing my favorite song over and over again "
459,"Sir I am a doctor in NEIGRIHMS I need to go urgently to Odisha I applied for car pass under medical emergency My both parents are COVID19 positive Kindly approve the request today sir Help me sir 
Ref no MEGEPASS202118472 DCEKH CMOMeghalaya MeghalayaPolice"
460,AbhinavPan mlkhattar There must be an upper capping on per day charges in case of COVID19 treatment DCGurugram may please intervene and get justice done
